Date,HR,PGE,SCE,SDGE,VEA,CAISO,,,
1/1/23,1,9762.24,9423.63,2051.81,64.48,21302.16,,,
1/1/23,2,9705.41,9047.39,1987.57,63.39,20803.75,,,
1/1/23,3,9539.15,8795.72,1900.54,64.67,20300.08,,,
1/1/23,4,9372.68,8583.53,1893.32,65.39,19914.92,,,
1/1/23,5,9438.79,8612.09,1859.29,65.67,19975.84,,,
1/1/23,6,9577.42,8799.15,1828.71,68.42,20273.69,,,
1/1/23,7,9635.44,8948.17,1870.37,80.60,20534.58,,,
1/1/23,8,9598.28,8923.30,1914.76,74.54,20510.88,,,
1/1/23,9,9361.70,8829.58,1916.04,73.61,20179.97,,,
1/1/23,10,8771.07,8879.97,1931.91,73.07,19656.01,,,
1/1/23,11,8178.72,9292.92,1922.02,76.39,19470.04,,,
1/1/23,12,8096.63,9412.69,1868.07,80.04,19457.42,,,
1/1/23,13,8001.72,9369.57,1936.14,80.21,19387.63,,,
1/1/23,14,8275.49,9261.79,2054.83,75.75,19667.86,,,
1/1/23,15,8262.83,9260.31,2120.19,71.33,19714.66,,,
1/1/23,16,8819.26,9513.09,2283.81,62.67,20678.83,,,
1/1/23,17,9906.21,9945.27,2342.12,71.64,22265.24,,,
1/1/23,18,11023.73,10959.19,2547.89,120.52,24651.33,,,
1/1/23,19,11276.01,11092.17,2558.39,105.76,25032.33,,,
1/1/23,20,11276.04,11101.48,2502.02,103.38,24982.91,,,
1/1/23,21,11029.22,10952.82,2432.00,97.15,24511.19,,,
1/1/23,22,10842.54,10871.33,2351.50,91.02,24156.39,,,
1/1/23,23,10557.60,10371.75,2200.99,87.67,23218.00,,,
1/1/23,24,9887.77,9858.20,2061.41,84.63,21892.01,,,
1/2/23,1,9904.74,9496.08,2007.15,84.00,21491.97,,,
1/2/23,2,9620.78,9162.59,1909.58,84.48,20777.42,,,
1/2/23,3,9410.84,8978.83,1849.50,86.05,20325.21,,,
1/2/23,4,9485.03,8952.03,1805.64,87.77,20330.48,,,
1/2/23,5,9527.19,9048.91,1845.46,92.28,20513.84,,,
1/2/23,6,10012.57,9407.04,1940.10,97.89,21457.61,,,
1/2/23,7,10451.23,10010.34,2019.65,112.77,22593.99,,,
1/2/23,8,10821.72,10076.78,2025.93,105.34,23029.78,,,
1/2/23,9,11126.33,9979.86,1916.12,97.13,23119.44,,,
1/2/23,10,11537.00,10110.41,1844.53,85.28,23577.23,,,
1/2/23,11,11945.16,9921.16,1761.63,71.17,23699.13,,,
1/2/23,12,12229.50,10313.61,1896.25,64.18,24503.54,,,
1/2/23,13,12416.28,10349.72,1827.03,60.05,24653.09,,,
1/2/23,14,12492.92,10759.84,2082.65,59.36,25394.77,,,
1/2/23,15,12648.26,11105.74,2228.69,65.46,26048.14,,,
1/2/23,16,12665.72,11009.22,2376.89,75.37,26127.19,,,
1/2/23,17,12864.81,11591.00,2631.41,92.98,27180.20,,,
1/2/23,18,13252.59,12191.56,2882.84,99.10,28426.10,,,
1/2/23,19,13077.10,12399.19,2672.66,100.18,28249.13,,,
1/2/23,20,12562.17,12287.46,2623.84,100.11,27573.57,,,
1/2/23,21,12150.58,11952.28,2522.16,98.22,26723.24,,,
1/2/23,22,11728.69,11680.95,2395.60,85.13,25890.37,,,
1/2/23,23,11293.18,10905.84,2262.67,81.36,24543.06,,,
1/2/23,24,10769.22,10272.09,2113.88,76.99,23232.19,,,
1/3/23,1,10406.22,9790.89,2141.39,75.15,22413.66,,,
1/3/23,2,10303.72,9497.98,2049.11,73.88,21924.69,,,
1/3/23,3,10180.38,9491.13,2084.97,74.14,21830.61,,,
1/3/23,4,10181.64,9389.36,1989.01,75.50,21635.52,,,
1/3/23,5,10152.45,9428.79,2004.60,79.25,21665.09,,,
1/3/23,6,10803.96,10000.51,2076.24,85.26,22965.97,,,
1/3/23,7,11417.61,11024.92,2227.40,98.18,24768.11,,,
1/3/23,8,12124.44,11530.84,2384.57,93.44,26133.29,,,
1/3/23,9,12104.42,12388.15,2670.40,93.05,27256.02,,,
1/3/23,10,11855.08,12507.42,2713.49,91.96,27167.96,,,
1/3/23,11,11582.44,12754.43,2707.28,77.91,27122.05,,,
1/3/23,12,11354.90,12728.46,2442.29,66.82,26592.48,,,
1/3/23,13,11379.61,12758.31,2462.14,69.60,26669.66,,,
1/3/23,14,11544.78,12421.35,2517.78,59.01,26542.92,,,
1/3/23,15,11673.40,11999.38,2539.61,61.16,26273.54,,,
1/3/23,16,11910.97,11963.17,2643.65,70.60,26588.39,,,
1/3/23,17,12361.81,12293.01,2743.23,84.20,27482.25,,,
1/3/23,18,13170.44,12902.74,2826.13,90.65,28989.96,,,
1/3/23,19,13085.56,12677.02,2785.17,92.04,28639.79,,,
1/3/23,20,12866.61,12509.55,2704.94,90.02,28171.12,,,
1/3/23,21,12513.89,12265.98,2601.86,89.13,27470.86,,,
1/3/23,22,12042.36,11924.64,2469.05,85.39,26521.44,,,
1/3/23,23,11314.58,11311.75,2284.32,74.29,24984.95,,,
1/3/23,24,10835.20,10719.08,2155.28,71.21,23780.77,,,
1/4/23,1,10858.13,10087.07,2096.02,69.41,23110.63,,,
1/4/23,2,10720.06,9734.15,2029.16,69.59,22552.96,,,
1/4/23,3,10607.70,9485.07,1987.87,71.31,22151.16,,,
1/4/23,4,10419.72,9381.15,1952.83,72.93,21826.63,,,
1/4/23,5,10332.02,9612.27,2007.47,77.72,22029.48,,,
1/4/23,6,10380.50,10049.10,2040.47,84.79,22554.86,,,
1/4/23,7,11117.72,10813.03,2199.03,97.21,24226.99,,,
1/4/23,8,11752.04,11274.18,2334.37,93.84,25454.42,,,
1/4/23,9,11933.38,11847.93,2473.14,91.66,26346.12,,,
1/4/23,10,11731.08,12036.64,2430.21,90.26,26288.19,,,
1/4/23,11,11868.74,12211.27,2464.92,84.70,26628.83,,,
1/4/23,12,11915.42,12268.65,2201.05,79.57,26464.69,,,
1/4/23,13,11913.10,12281.24,2002.09,69.29,26265.73,,,
1/4/23,14,11829.14,12348.26,1887.25,76.12,26140.77,,,
1/4/23,15,11588.39,12077.00,2058.94,73.03,25797.37,,,
1/4/23,16,11706.73,11618.95,2333.57,68.89,25728.14,,,
1/4/23,17,12072.35,11951.71,2475.87,85.94,26585.86,,,
1/4/23,18,12781.54,12490.56,2687.79,92.17,28052.06,,,
1/4/23,19,12679.81,12463.63,2678.09,90.55,27912.08,,,
1/4/23,20,12044.59,12381.83,2593.16,88.75,27108.33,,,
1/4/23,21,11644.29,12161.53,2519.66,86.72,26412.20,,,
1/4/23,22,11143.62,11798.89,2411.18,81.58,25435.27,,,
1/4/23,23,10431.37,11242.60,2251.48,70.22,23995.67,,,
1/4/23,24,10664.56,10516.96,2104.85,66.75,23353.11,,,
1/5/23,1,10152.12,10116.35,2216.53,65.12,22550.13,,,
1/5/23,2,10084.88,9800.28,2175.27,63.83,22124.25,,,
1/5/23,3,9942.69,9578.77,2118.67,64.14,21703.47,,,
1/5/23,4,9414.97,9387.00,2193.88,65.91,21061.76,,,
1/5/23,5,9421.85,9442.66,1916.73,68.71,20849.95,,,
1/5/23,6,9755.60,9885.18,1954.53,75.16,21670.46,,,
1/5/23,7,10666.21,10702.99,2152.18,87.61,23608.98,,,
1/5/23,8,11273.69,11323.96,2316.91,91.71,25006.26,,,
1/5/23,9,11534.94,11850.65,2423.03,79.64,25888.26,,,
1/5/23,10,11599.00,12306.30,2438.15,74.85,26418.30,,,
1/5/23,11,11763.87,12941.92,2487.93,74.86,27268.59,,,
1/5/23,12,11999.90,12634.66,2549.34,70.29,27253.40,,,
1/5/23,13,12397.67,12313.52,2573.15,78.83,27363.16,,,
1/5/23,14,12041.25,11863.80,2449.40,80.32,26434.78,,,
1/5/23,15,11642.39,11389.78,2448.10,73.94,25554.21,,,
1/5/23,16,11354.52,11294.89,2462.14,72.15,25183.70,,,
1/5/23,17,11658.38,11533.59,2533.76,89.30,25815.03,,,
1/5/23,18,12430.85,12246.23,2746.03,93.81,27516.92,,,
1/5/23,19,12521.92,12384.16,2730.73,92.14,27728.95,,,
1/5/23,20,12248.75,12203.39,2653.59,90.65,27196.38,,,
1/5/23,21,11915.01,11977.78,2552.83,89.37,26534.98,,,
1/5/23,22,11540.12,11673.68,2420.23,77.69,25711.72,,,
1/5/23,23,10829.84,11185.92,2243.81,74.40,24333.97,,,
1/5/23,24,10164.10,10572.34,2086.36,72.27,22895.07,,,
1/6/23,1,9997.01,10147.29,2102.88,72.57,22319.76,,,
1/6/23,2,10216.86,9576.89,2028.83,73.65,21895.44,,,
1/6/23,3,10355.92,9440.27,1990.46,75.99,21862.63,,,
1/6/23,4,10326.78,9280.05,1949.85,79.56,21636.24,,,
1/6/23,5,9966.11,9608.40,2000.10,85.86,21660.48,,,
1/6/23,6,10260.79,10310.74,2107.04,95.05,22773.62,,,
1/6/23,7,10741.56,11125.82,2327.97,110.41,24305.76,,,
1/6/23,8,11484.69,11569.85,2487.67,105.16,25647.38,,,
1/6/23,9,11234.16,12006.41,2304.88,95.06,25640.51,,,
1/6/23,10,10879.77,11782.15,2167.58,80.10,24909.59,,,
1/6/23,11,10519.02,11364.18,1926.82,66.76,23876.78,,,
1/6/23,12,10392.39,11253.93,1701.73,58.71,23406.76,,,
1/6/23,13,10381.66,10817.28,1574.93,54.08,22827.17,,,
1/6/23,14,10759.42,10670.83,1502.12,51.81,22984.18,,,
1/6/23,15,10932.58,10754.38,1785.39,51.65,23524.00,,,
1/6/23,16,10764.14,10734.18,2034.25,56.28,23588.84,,,
1/6/23,17,11479.27,11212.93,2327.01,73.80,25093.01,,,
1/6/23,18,12274.81,12104.44,2620.11,86.18,27085.53,,,
1/6/23,19,12162.31,12127.92,2614.06,89.64,26993.92,,,
1/6/23,20,11873.36,12018.28,2570.30,91.84,26553.77,,,
1/6/23,21,11533.11,11920.50,2552.81,92.96,26099.38,,,
1/6/23,22,11168.48,11727.52,2464.45,93.05,25453.49,,,
1/6/23,23,10547.74,11279.87,2304.82,83.84,24216.27,,,
1/6/23,24,9939.66,10828.31,2168.67,83.36,23020.00,,,
1/7/23,1,9642.84,10204.46,2116.38,83.95,22047.63,,,
1/7/23,2,9781.07,9883.71,2007.02,85.57,21757.36,,,
1/7/23,3,9430.91,9646.21,1941.75,88.43,21107.30,,,
1/7/23,4,9213.40,9535.64,1906.97,90.88,20746.88,,,
1/7/23,5,9263.67,9566.86,1920.97,94.98,20846.48,,,
1/7/23,6,9608.82,9827.00,1963.45,101.53,21500.79,,,
1/7/23,7,9922.87,10195.75,2059.05,115.85,22293.51,,,
1/7/23,8,10264.10,10283.13,2062.86,110.08,22720.17,,,
1/7/23,9,10676.97,10467.25,2265.48,107.99,23517.69,,,
1/7/23,10,10798.00,10421.26,1947.37,95.61,23262.25,,,
1/7/23,11,11040.83,10306.54,1661.84,72.49,23081.70,,,
1/7/23,12,10603.29,10033.99,1523.12,74.86,22235.25,,,
1/7/23,13,10796.22,9827.28,1392.38,73.34,22089.22,,,
1/7/23,14,11024.39,9540.56,1406.06,71.95,22042.96,,,
1/7/23,15,11019.35,9704.76,1636.43,67.46,22428.00,,,
1/7/23,16,11044.22,9862.74,2011.02,71.75,22989.74,,,
1/7/23,17,11376.63,10274.76,2222.42,85.83,23959.63,,,
1/7/23,18,11827.41,11297.57,2466.23,91.93,25683.14,,,
1/7/23,19,11678.06,11326.17,2485.73,92.95,25582.91,,,
1/7/23,20,11454.36,11240.54,2435.58,94.07,25224.55,,,
1/7/23,21,11197.36,11098.51,2378.33,92.82,24767.03,,,
1/7/23,22,10893.37,10903.38,2306.57,90.74,24194.06,,,
1/7/23,23,10713.92,10566.41,2176.63,82.33,23539.29,,,
1/7/23,24,10139.61,10210.24,2048.90,80.50,22479.26,,,
1/8/23,1,10116.77,9434.86,2027.26,78.59,21657.48,,,
1/8/23,2,9499.84,9293.08,1967.47,77.12,20836.73,,,
1/8/23,3,9427.03,9042.15,1891.58,78.40,20439.15,,,
1/8/23,4,9246.03,8777.01,1872.20,79.91,19975.15,,,
1/8/23,5,9100.73,8807.55,1887.74,83.11,19879.12,,,
1/8/23,6,9126.74,9052.98,1936.14,88.60,20204.46,,,
1/8/23,7,9413.56,9271.05,1987.97,101.09,20773.68,,,
1/8/23,8,9755.02,9529.52,1999.71,102.08,21386.34,,,
1/8/23,9,9890.25,9733.72,1831.57,94.57,21550.10,,,
1/8/23,10,9878.12,9475.58,1641.33,91.83,21086.86,,,
1/8/23,11,9632.24,9480.02,1494.42,88.02,20694.70,,,
1/8/23,12,9565.18,9268.23,1484.47,79.16,20397.04,,,
1/8/23,13,9966.56,9082.34,1299.63,63.89,20412.41,,,
1/8/23,14,10382.06,9105.77,1345.16,52.58,20885.56,,,
1/8/23,15,10553.99,9345.07,1595.68,51.09,21545.82,,,
1/8/23,16,10390.11,9723.68,1918.94,55.01,22087.74,,,
1/8/23,17,10840.61,10206.09,2128.36,66.26,23241.32,,,
1/8/23,18,11658.21,11215.97,2486.93,82.76,25443.88,,,
1/8/23,19,11712.08,11327.68,2534.73,86.19,25660.69,,,
1/8/23,20,11521.36,11271.72,2477.62,86.19,25356.89,,,
1/8/23,21,11157.76,11074.03,2432.53,84.93,24749.25,,,
1/8/23,22,10578.14,10754.74,2334.69,65.43,23733.00,,,
1/8/23,23,9980.09,10271.58,2193.67,25.77,22471.11,,,
1/8/23,24,9516.98,9522.78,2064.21,56.79,21160.76,,,
1/9/23,1,9346.19,9361.61,2028.87,44.36,20781.04,,,
1/9/23,2,9541.48,9048.48,1983.59,26.54,20600.09,,,
1/9/23,3,9504.55,9391.47,1975.91,0.38,20872.30,,,
1/9/23,4,9585.54,9333.36,1980.10,0.00,20899.01,,,
1/9/23,5,9752.23,9196.41,2012.43,0.00,20961.07,,,
1/9/23,6,9861.21,9753.34,2069.60,0.00,21684.14,,,
1/9/23,7,10803.98,10612.94,2285.13,21.96,23724.00,,,
1/9/23,8,11862.09,11348.73,2496.27,23.88,25730.96,,,
1/9/23,9,12006.36,11736.35,2353.05,14.50,26110.26,,,
1/9/23,10,12250.30,12160.33,2251.01,46.47,26708.11,,,
1/9/23,11,12156.32,12407.65,2062.38,61.92,26688.27,,,
1/9/23,12,12000.99,12892.19,2169.82,80.39,27143.39,,,
1/9/23,13,11442.21,12672.11,1991.18,78.89,26184.39,,,
1/9/23,14,11277.74,12377.17,1975.44,76.59,25706.95,,,
1/9/23,15,11361.88,12203.44,2048.75,75.55,25689.62,,,
1/9/23,16,11608.06,12032.26,2286.32,75.77,26002.40,,,
1/9/23,17,11773.65,12271.28,2523.93,88.86,26657.71,,,
1/9/23,18,12320.01,12637.98,2811.41,91.30,27860.69,,,
1/9/23,19,12366.64,12571.62,2733.18,91.73,27763.18,,,
1/9/23,20,12048.83,12363.73,2665.46,89.56,27167.59,,,
1/9/23,21,11687.14,12090.51,2556.60,86.08,26420.32,,,
1/9/23,22,11313.05,11735.84,2482.65,74.41,25605.96,,,
1/9/23,23,10579.83,11124.74,2312.55,71.23,24088.35,,,
1/9/23,24,9957.11,10429.01,2189.63,67.00,22642.75,,,
1/10/23,1,9858.19,9934.41,2156.60,64.04,22013.24,,,
1/10/23,2,10000.57,9405.37,2055.78,62.69,21523.44,,,
1/10/23,3,9673.59,9344.63,2079.74,63.02,21160.98,,,
1/10/23,4,9788.72,9170.58,1883.94,63.09,20906.33,,,
1/10/23,5,9944.87,9270.33,1933.24,66.58,21215.03,,,
1/10/23,6,10030.78,9896.34,2020.17,71.46,22018.75,,,
1/10/23,7,10614.73,10825.29,2240.42,86.18,23766.62,,,
1/10/23,8,11475.25,11506.51,2423.28,88.30,25493.34,,,
1/10/23,9,11691.87,12211.27,2452.14,80.65,26435.92,,,
1/10/23,10,11876.12,12367.94,2522.70,81.54,26848.30,,,
1/10/23,11,11473.88,12624.64,2504.68,73.40,26676.60,,,
1/10/23,12,11310.81,12832.62,2492.16,80.31,26715.91,,,
1/10/23,13,11607.68,12690.87,2491.78,84.13,26874.46,,,
1/10/23,14,11418.57,12341.37,2568.97,87.22,26416.13,,,
1/10/23,15,11066.12,11941.79,2572.76,80.75,25661.43,,,
1/10/23,16,11098.29,11870.72,2549.38,72.91,25591.30,,,
